X;Y;osm_id;type;name;brand;operator;wheelchair
4.8284285;45.753590100379;node/7137373866;tea;Cha Yuan;;;
4.8670068;45.7448140003802;node/7142347771;cheese;Mons Fromager Affineur;;;yes
4.8675794;45.7446595003803;node/7142417105;chocolate;Voisin Lumière;Voisin;;yes
4.8298965;45.7529676003791;node/7149440481;antiques;L'Amateur;;;
4.8304458;45.7529645003791;node/7149440930;antiques;21 Antiquités;;;
4.8306259;45.7529066003791;node/7164618164;fabric;Pompon Girl;;;
4.8318694;45.7525697003791;node/7164622865;craft;La petite académie;;;
4.8307881;45.7528771003791;node/7164624482;paint;Mercadier;;;
4.8311905;45.7526050003791;node/7164626120;antiques;La Chrysalide;;;
4.8306569;45.7528999003791;node/7164632809;leather;ABP Lyon;Atelier du Bracelet Parisien;;
4.8305543;45.7529285003791;node/7164635121;upholsterer;L'artisane;;;
4.8321245;45.7525150003791;node/7164676557;antiques;Au Passé Entreposé;;;
4.8320528;45.7523751003791;node/7164683200;paint;Naturelles Substances;;;
4.8317022;45.7524661003791;node/7164687978;frame;L'éclat de Verre;;;
4.8319786;45.7523910003792;node/7164688683;art;Galerie 20's Art;;;
4.8325522;45.7522361003792;node/7164695808;antiques;Arcadia;;;
4.8323892;45.7522771003792;node/7164701000;antiques;F. Marceau;;;
4.8322393;45.7524624003792;node/7164709286;paint;Pure paint;;;
4.8321868;45.7793577003753;node/7168968964;chocolate;Les chocolats d'Abi et Lisa;;Stéphan Boucher;yes
4.8317196;45.767643000377;node/7174527614;florist;Un Brin de Folie;;;yes
4.8297546;45.7541597003789;node/7175614345;bag;Le Studio;;;
4.8310247;45.7558256003787;node/7175649792;confectionery;Tentation;;;
4.8321397;45.7771750003756;node/7187220548;greengrocer;Cerise et Potiron;Cerise et Potiron;;limited
4.8208791;45.7726425003763;node/7205593435;butcher;Boucherie nour halal;;;
4.8334646;45.7760733003758;node/7212592392;chocolate;Bouillet Chokola;;;
4.84799;45.7484777003797;node/7252690584;alcohol;Et la nature fût;;;
4.8555535;45.7628361003777;node/7256110985;confectionery;Sève;;;
4.855477;45.7696912003767;node/7256112786;confectionery;Délices des Sens;;;
4.8334637;45.7760876003758;node/7256142585;confectionery;Chokola;Chocolatier Bouillet;;
4.8278406;45.7627659003777;node/7256147086;chocolate;Pralus;Pralus;;no
4.8306508;45.7520990003792;node/7256148285;chocolate;Louis Simart Chocolatier;;;
4.8367328;45.7582538003783;node/7256148286;chocolate;Voisin Halles Grand Hotel-Dieu;Voisin;;
4.8508035;45.7692540003768;node/7256155385;chocolate;Pralibel Lyon Chocolatier;Pralibel;;
4.8348185;45.7630259003776;node/7256155386;chocolate;Chocolaterie Bel;;;
4.8565813;45.7614025003779;node/7256158485;chocolate;Jeff de Bruges;Jeff de Bruges;;
4.8175356;45.7410078003807;node/7256170585;chocolate;Voisin;Voisin;;
4.8563605;45.7617091003778;node/7256171686;chocolate;Voisin Part Dieu;Voisin;;
4.8433841;45.767938300377;node/7256187685;confectionery;Trop Chou;;;
4.8321256;45.7610564003779;node/7258529794;confectionery;Fleurs-thés en chocolat;;;
4.8329023;45.7609867003779;node/7258529803;herbalist;L'aromathèque;;;
4.8337964;45.7616986003778;node/7258688703;art;Galerie Deza;;;
4.8440416;45.7724256003763;node/7260841485;shoemaker;Duquesne Services;;;
